,"HARTFORD 2.0 SW, CT US","WEST HARTFORD 2.1 NNE, CT US","NEW HARTFORD CENTER 1.5 N, CT US","WEST HARTFORD 1.1 W, CT US","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","EAST HARTFORD 1.3 E, CT US","WEST HARTFORD 2.7 SSE, CT US","WEST HARTFORD 2.3 NNE, CT US","HARTFORD BRAINARD FIELD, CT US","STAMFORD 5 N, CT US","STAMFORD 4.2 S, CT US","WEST HARTFORD 1.1 NNE, CT US"
2020-10-16,0.01,0.0,0.01,0.0,1.59,0.0,0.07,0.0,0.93,0.0,0.01,0.0
2020-10-17,0.01,0.0,1.81,2.14,0.49,1.76,0.07,0.0,0.59,0.0,2.15,2.03
2020-10-18,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01
2020-10-19,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
2020-10-20,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.0
2020-10-21,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.0
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
2020-10-23,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0
2020-10-24,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.03
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.09,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.07,0.0
2020-10-27,0.0,0.0,0.04,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.01,0.01
2020-10-28,0.0,0.0,0.18,0.0,0.4,0.07,0.07,0.18,0.34,0.0,0.3,0.14
2020-10-29,0.0,0.0,0.27,0.0,1.14,0.29,0.07,0.17,1.27,0.0,0.04,0.24
2020-10-30,0.98,0.0,1.36,0.0,0.53,1.65,0.07,1.48,0.39,0.0,0.04,1.5
2020-10-31,0.98,0.0,0.41,0.0,0.0,0.43,0.07,0.21,0.0,0.0,0.04,0.28
2020-11-01,0.98,0.0,0.0,0.0,0.44,0.0,0.07,0.0,0.41,0.0,0.04,0.0
2020-11-02,0.98,0.0,0.49,0.0,0.0,0.44,0.07,0.42,0.0,0.0,0.42,0.47
2020-11-03,0.98,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.42,0.0
2020-11-04,0.98,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.42,0.01
2020-01-31,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.01,0.0,0.42,0.0
2020-03-30,0.0,0.0,0.3,0.0,0.01,0.13,0.07,0.36,0.0,0.5,0.08,0.0
